이름*,맛,당도*,도수*,색상*,베이스*,레시피*,키워드,설명*,신맛내는거,,신맛내는거 포함 문자열
캐서린 블로섬,"신맛, 단맛",단맛,0,#c58329,non-alcoholic,"오렌지 주스, 메이플 시럽, 오렌지 샤베트, 소다수",,메이플의 미세한 맛과 향이 나는 색다른 주스.,1,,
쿨 콜린스,"신맛, 상쾌한맛",중간 맛,0,#b2a97e,non-alcoholic,"플레시 레몬 주스, 설탕, 민트 잎, 소다수",,레몬의 신맛과 민트가 입 안을 상쾌하게 해 주는 드링크.,1,,
크란베리 크림 칵테일,신맛,중간 맛,0,#723730,non-alcoholic,"크란베리 주스, 사과 주스, 코코넛 크림, 플레시 라임 주스, 그레나덴 시럽",,차게 하여 마시는 여름의 더위를 잊는 드링크.,1,,
그린 서머 쿨러,"상쾌한맛, 단맛",단맛,0,#7a8e49,non-alcoholic,"플레시 라임 주스, 파인애플 주스, 그린 페퍼민트 시럽, 진저 에일",,오이의 향이 샐러드 감각의 민트로 입 안을 상큼하게.,1,,
콰이어트 패션,"단맛, 신맛",단맛,0,#963d33,non-alcoholic,"포도 주스, 화이트 포도 주스, 패션 과일 주스",,포도 주스를 사용한 새콤달콤한 드링크.,1,,
케이프 코드 선라이즈,신맛,중간 맛,0,#a7453c,non-alcoholic,"크란베리 주스, 신선한 라임 주스",,신선한 라임의 신맛으로 그리 달지 않은 드링크.,1,,
캔투미,"단맛, 부드러운맛",단맛,0,#a1948a,non-alcoholic,"패션 프루트 시럽, 바닐라 아이스크림, 라임 주스, 소다수",,크림 소다수와 같은 바닐라 냄새가 나는 드링크.,1,,
코코 오코,"단맛, 부드러운맛",단맛,0,#cbcad2,non-alcoholic,"코코넛 시럽, 레몬 주스, 마라스키노 시럽, 우유, 앙고스트라 비터",,트로피컬 드링크 중에서 숨겨진 인기 있는 드링크.,1,,
코코 콜라,"신맛, 단맛, 부드러운맛",단맛,0,#835b32,non-alcoholic,"코코넛 밀크, 신선한 라임 주스, 콜라",,친숙한 코카콜라가 맛있게 변모한 드링크.,1,,
코코넛 쿨러,신맛,중간 맛,0,#a0927e,non-alcoholic,"코코넛 밀크, 신선한 라임 주스, 소다수",,"신맛으로, 여름의 더위를 잠시 잊게 해준다.",1,,
서머 쿨러,"신맛, 쓴맛",중간 맛,0,#a65334,non-alcoholic,"카시스 시럽, 오렌지 주스, 앙고스트라 비터",,비터의 쌉쌀한 맛으로 주스가 어른스러운 맛을 낸다.,1,,
서머 딜라이트,신맛,중간 맛,0,#822c23,non-alcoholic,"라임 주스, 그레나덴 시럽, 설탕, 소다수",,"붉게 물든 여름 한때, 단맛을 줄인 기분 좋은 드링크.",1,,
살라토가 쿨러,신맛,중간 맛,0,#a79370,non-alcoholic,"라임주스, 설탕, 진저 에일",,"단맛이 적은 산뜻한, 여름에 어울리는 드링크.",1,,
산드리용,"단맛, 신맛",단맛,0,#85542c,non-alcoholic,"레몬 주스, 오렌지 주스, 파인애플 주스",,혼합 과일 주스 맛의 드링크.,1,,
셜리 템플,"신맛, 단맛",단맛,0,#a16938,non-alcoholic,"그레나덴 시럽, 진저 에일 또는 레모네이드",,논 알코올 중에서는 가장 인기 높은 드링크.,1,,
잭스 스페셜,"신맛, 단맛",단맛,0,#a6583d,non-alcoholic,"딸기, 파인애플 주스, 레몬 주스",,딸기와 파인의 콤비가 맛을 배가시킨다.,1,,
쟈니 쥴렙,신맛,중간 맛,0,#937c4d,non-alcoholic,"레몬 주스, 설탕 시럽, 앙고스트라 비터, 진저 에일",,이름은 주렙이지만 레몬의 프레이버로 대용.,1,,
스윙거,"단맛, 신맛",단맛,0,#c29324,non-alcoholic,"그레이프 프루트 주스, 파인애플 주스, 설탕 시럽",,그레이프 프루트 주스의 신맛과 파인애플의 단맛이 조화를 이룬 드링크.,1,,
스키 와서,신맛,중간 맛,0,#a84235,non-alcoholic,"레몬 주스, 라즈베리 주스, 소다수",,신맛이 나는 드링크로 스포츠의 피로를 없애 준다.,1,,
스포츠맨,"단맛, 신맛",단맛,0,#9d622f,non-alcoholic,"플레시 레몬 주스, 라임 주스 코디얼, 그레나덴, 토닉 워터",,단맛과 신맛이 적당하여 누구라도 좋아하는 맛있는 드링크.,1,,
세이프 섹스 온 더 비치,"신맛, 단맛",단맛,0,#6e351a,non-alcoholic,"복숭아 넥타, 크란베리 주스, 파인애플 주스",,섹스 온 더 비치의 논 알코올 판. 겉보기에는 비슷하므로 요주의.,1,,
다니엘스 칵테일,신맛,중간 맛,0,#90532c,non-alcoholic,"플레시 오렌지 주스, 플레시 라임 주스, 그레나덴 시럽",,신선한 것끼리 조합한 건강 가득한 드링크.,1,,
더미 데이지,"신맛, 단맛",단맛,0,#904238,non-alcoholic,"라즈베리 시럽, 라임 주스, 설탕",,더미(가짜)라는 유머 있는 드링크.,1,,
트로피칼 스톰,"신맛, 단맛",단맛,0,#bb953c,non-alcoholic,"파인애플 주스, 플레시 라임 주스, 패션프루트 시럽, 아몬드 시럽",,여름의 산들바람을 타고 과일 향을 맡고 싶다.,1,,
통가,신맛,중간 맛,0,#91682d,non-alcoholic,"레몬 주스, 파인애플 주스, 그레나덴, 계란, 레모네이드",,단맛은 거의 느낄 수 없는 산뜻한 맛.,1,,
너티 콜라,신맛,중간 맛,0,#955f3c,non-alcoholic,"헤젤 너트 시럽, 플레시 라임 주스, 콜라",,헤젤 너트의 맛이 코카콜라를 바꾸었다.,1,,
버진 맨해튼,"감칠맛, 신맛",중간 맛,0,#a45d30,non-alcoholic,"크랑베리 주스, 오렌지 주스, 마라스키노 체리 주스, 레몬 주스, 오렌지 비터스",,마라스키노 프레이버가 감칠맛을 낸다.,1,,
버진 메리,신맛,중간 맛,0,#8d4a2f,non-alcoholic,"토마토 주스, 타바스코, 레몬 주스, 우스타 소스",,단순한 토마토 주스가 아닌 특징이 있는 드링크.,1,,
파슨스 스페셜,"단맛, 신맛",단맛,0,#ad9156,non-alcoholic,"그레나덴, 오렌지 주스, 계란 노른자",,계란 노른자가 들어간 오렌지 주스.,1,,
퍼플 피플 이터,신맛,중간 맛,0,#5b1d12,non-alcoholic,"포도 주스, 플레시 라임 주스, 소다수",,단맛이 적은 산뜻한 맛으로 언제든지 맛있게 마실 수 있다.,1,,
허니문,"단맛, 신맛",단맛,0,#9d6117,non-alcoholic,"메이플 시럽, 라임 주스, 오렌지 주스, 사과 주스",,메이플의 달콤한 맛과 논 알코올 칵테일.,1,,
바르바렐라,"신맛, 쓴맛",중간 맛,0,#87501d,non-alcoholic,"앙고스트라 비터, 스트로베리 시럽, 그레이프 프루트 주스",,비터 맛이 포인트가 되는 어른스러운 맛의 칵테일.,1,,
비치코머,"단맛, 신맛",단맛,0,#8a4e36,non-alcoholic,"구아바 주스, 라즈베리 시럽, 플레시 라임 주스",,구아바 향이 나는 트로피컬한 맛.,1,,
피치 멜바,신맛,중간 맛,0,#9a6244,non-alcoholic,"복숭아 넥타, 그레나덴 시럽, 레몬 주스, 라임 주스",,"복숭아 맛이 나는 부드러운 맛, 둥근 모양의 얼음을 넣는다.",1,,
포 키르,"신맛, 단맛",단맛,0,#923b2d,non-alcoholic,"라즈베리 시럽, 화이트 그레이프 주스",,키르 칵테일의 가짜. 유머가 있는 드링크.,1,,
푸시 캣,"단맛, 신맛",단맛,0,#c5742f,non-alcoholic,"오렌지 주스, 파인애플 주스, 그레이프 프루트 주스, 그레나덴 시럽",,이름대로 귀여운 칵테일.,1,,
푸시 푸트,단맛,단맛,0,#af813f,non-alcoholic,"오렌지 주스, 레몬 주스, 그레나덴 시럽, 계란 노른자",,약간의 감칠맛이 칵테일답다.,1,,
블랑 벡 민트,"단맛, 상쾌한맛",단맛,0,#2f8e39,non-alcoholic,"민트 시럽, 레몬 주스, 설탕 시럽, 라임 주스",,민트 캔디와 같은 상쾌한 드링크.,1,,
프루트 컵,"신맛, 단맛",단맛,0,#844800,non-alcoholic,"라즈베리 시럽, 스트로베리 시럽, 파인애플 주스, 레몬 주스, 오렌지 주스, 포도 주스",,과일을 가득 글라스에 채운 맛있는 드링크.,1,,
헤븐리 데이즈,신맛,중간 맛,0,#7d4609,non-alcoholic,"헤젤 너트 시럽, 레몬 주스, 그레나덴 시럽, 소다수",,너트 프레이버가 한층 다른 맛을 낸다.,1,,
머메이드스 송,"단맛, 신맛",단맛,0,#8e6700,non-alcoholic,"오렌지 주스, 패션 프루트 주스, 코코넛 밀크, 파인애플 주스, 라임 주스",,희미하게 들려오는 노래에 귀를 기울이면서 마시고 싶다.,1,,
먼디스 큐어,신맛,중간 맛,0,#772512,non-alcoholic,"크란베리 주스, 그레이프 프루트 주스, 라임 주스",,우울한 월요일에는 이 드링크로 신선하게.,1,,
레드 솜브레로,"단맛, 신맛",단맛,0,#7a2a16,non-alcoholic,"파인애플 주스, 오렌지 주스, 레몬 주스, 그레나덴 시럽, 진저 에일",,그레나덴의 단맛을 주로 하여 파인애플의 향을 낸다.,1,,
레드 와인 샌드 가프,신맛,중간 맛,6.3,#8d423a,beer,"붉은 와인, 진저 에일, 맥주",,영국의 맥주 칵테일을 붉은 와인으로 각색.,0,,
살구&그레이프 프루트 비어,신맛,중간 맛,7.6,#9e560b,beer,"아프리콧 브랜디, 그레이프 프루트 주스, 시럽, 맥주",,아프리콧의 맛이 맥주를 부드럽게 한다.,0,,
카시스 크란베리 비어,"상쾌한맛, 신맛",중간 맛,5.3,#c07d25,beer,"크림 드 카시스, 크란베리 주스, 맥주",,신선한 향이 퍼지는 상쾌한 드링크.,0,,
칼피스 비어,감칠맛,중간 맛,5.4,#ce934e,beer,"아니세트, 칼피스, 맥주",,아니스의 개성 있는 향을 맥주에 곁들인 칵테일.,0,,
캄파리 비어,쓴맛,중간 맛,10,#906746,beer,"캄파리, 맥주",,"캄파리의 쓴맛이 맛을 깊게 하여, 어른스러운 맥주가 된다.",0,,
샌디 가프,쓴맛,중간 맛,2,#906746,beer,"스타우트, 진저 에일",,약간의 농후한 맛을 지닌 영국에서 인기 있는 칵테일.,0,,
서브마리노,쓴맛,중간 맛,28,#906746,beer,"화이트 테킬라, 맥주",,속에 가라앉은 글라스에서 테킬라의 맛이 솟아오른다.,0,,
진저 비어,쓴맛,중간 맛,30,#906746,beer,"진저 브랜디, 다크 비어 적당량",,진저의 향을 지닌 도수가 확실히 있는 맥주.,0,,
스톤 헤드,쓴맛,중간 맛,5,#b8844b,beer,"진저 리큐르, 맥주",,색다른 맥주가 마시고 싶을 때에 권장.,0,,
스트로베리 비어,"신맛, 쓴맛",중간 맛,7,#a45800,beer,"크림 드 플레이즈, 소다수, 맥주",,딸기 프레이버가 맥주를 달게 감싼다.,0,,
데프스 차이,쓴맛,중간 맛,20,#906746,beer,"슈납스, 맥주",,맥주처럼 보이지만 알코올 도수는 높다.,0,,
도그스 노즈,"쓴맛, 감칠맛",쓴맛,10,#906746,beer,"드라이 진, 맥주",,진의 자극적인 감칠맛이 남성다움을 연출하는 칵테일.,0,,
파나세,"신맛, 쓴맛",중간 맛,2,#84560d,beer,"맥주, 레모네이드",,동명의 논 알코올도 있다. 가볍고 도수도 낮은 칵테일.,1,,
바나나 비어,"단맛, 쓴맛",중간 맛,10.2,#c1a624,beer,"바나나 리큐르, 맥주",,바나나 향을 첨가한 트로피컬 테이스트.,0,,
비어 버스터,쓴맛,쓴맛,30,#906746,beer,"보드카, 맥주, 타바스코",,맥주의 자극적인 맛에 도수도 높은 쓴맛의 드링크.,0,,
비어 풀립,"단맛, 쓴맛, 부드러운맛",단맛,2,#906746,beer,"포트와인, 계란 흰자, 계란 노른자, 설탕 시럽, 맥주",,농후한 맛이 특징인 색다른 맥주를 시험하고 싶다.,0,,
비어 스프리처,쓴맛,중간 맛,9.5,#ceab00,beer,"흰 와인, 맥주",,가정에서 가볍게 즐길 수 있는 맥주 칵테일.,0,,
피치 비어,신맛,중간 맛,6.9,#c67f3e,beer,"피치 리큐르, 맥주, 그레나덴 시럽",,복숭아 향과 단맛의 부드러운 맛을 내는 칵테일.,0,,
블랙 벨벳,쓴맛,중간 맛,9.5,#220c11,beer,"스타우트, 샴페인",,벨벳과 같은 거품의 유럽의 전통적 칵테일.,0,,
프랑젤리코 파인 비어,신맛,중간 맛,10.9,#ac6900,beer,"프랑젤리코, 오렌지 큐라소, 파인애플 주스, 맥주",,깊이가 있는 프레이버가 맥주에 감칠맛과 맛을 더해 준다.,1,,
프랑부아즈 비어,신맛,중간 맛,6.7,#962917,beer,"크림 드 프랑부아즈, 크림 드 카시스, 레몬 주스, 맥주",,신선한 향이 맥주를 감싼다.,1,,
블루 비어,쓴맛,중간 맛,11,#667926,beer,"마라스키노, 블루 큐라소, 맥주",,그린 색채가 아름다운 신선한 맛의 칵테일.,0,,
보일러메이커,쓴맛,쓴맛,35,#906746,beer,"맥주, 위스키",,글라스를 가라앉혀서 위스키와 맥주의 양쪽을 즐긴다.,0,,
말차 비어,"녹차맛, 단맛",단맛,7.9,#4d6403,beer,"녹차 리큐르, 맥주",,일본산의 여성에게 인기 있는 칵테일.,0,,
마린 스노,단맛,중간 맛,5.7,#37611d,beer,"블루 큐라소, 칼피스, 소다수, 맥주",,마린 블루의 바다에 흰 눈이 내리는 칵테일.,0,,
민트 비어,상쾌한맛,중간 맛,7.9,#837e00,beer,"맥주, 프리조 민트 그린",,민트의 청량감 넘치는 맛으로 보기에도 아름다운 칵테일.,0,,
모카 쿠로나마,커피맛,중간 맛,7.9,#2f201e,beer,"모카 리큐르, 아사히 쿠로나마",,"커피 맛이 나는 식전, 식후에 마시는 칵테일.",0,,
요슈,쓴맛,쓴맛,36,#906746,beer,"보드카, 맥주",,술을 좋아하는 미국인이 고안한 도수 높은 맥주 칵테일.,0,,
애플 비어,"신맛, 단맛",단맛,8.1,#ac7400,beer,"니커 브랜디 X.O, 사과 주스, 설탕 시럽, 맥주",,사과 주스의 단맛이 맥주를 맛있게 만든다.,1,,
레드 아이,신맛,중간 맛,2.5,#5c0a0b,beer,"맥주, 토마토 주스",,친숙한 토마토 주스가 몸에 부드러운 칵테일.,1,,
